year	publisher	institute	cost
2010	Elsevier	University of Aberdeen	753161.75
2011	Elsevier	University of Aberdeen	759672.77
2012	Elsevier	University of Aberdeen	757137.16
2013	Elsevier	University of Aberdeen	747090.02
2014	Elsevier	University of Aberdeen	746783.16
2010	Wiley	University of Aberdeen	226277.18
2011	Wiley	University of Aberdeen	239243.99
2012	Wiley	University of Aberdeen	238261.06
2013	Wiley	University of Aberdeen	248324.57
2014	Wiley	University of Aberdeen	253813.35
2010	Springer	University of Aberdeen	164821.48
2011	Springer	University of Aberdeen	167443.47
2012	Springer	University of Aberdeen	179315.28
2013	Springer	University of Aberdeen	189336.16
2014	Springer	University of Aberdeen	196263.06
2010	Taylor & Francis	University of Aberdeen	140213.51
2011	Taylor & Francis	University of Aberdeen	148050.97
2012	Taylor & Francis	University of Aberdeen	151722.17
2013	Taylor & Francis	University of Aberdeen	153489.44
2014	Taylor & Francis	University of Aberdeen	158065.58
2010	Sage	University of Aberdeen	53143.59
2011	Sage	University of Aberdeen	55518.38
2012	Sage	University of Aberdeen	57947.48
2013	Sage	University of Aberdeen	60233.02
2014	Sage	University of Aberdeen	63349.80
2010	Oxford University Press	University of Aberdeen	32572.60
2011	Oxford University Press	University of Aberdeen	35282.40
2012	Oxford University Press	University of Aberdeen	37054.73
2013	Oxford University Press	University of Aberdeen	43083.84
2014	Oxford University Press	University of Aberdeen	44373.66
2010	Cambridge University Press	University of Aberdeen	27269.12
2011	Cambridge University Press	University of Aberdeen	29343.16
2012	Cambridge University Press	University of Aberdeen	31969.98
2013	Cambridge University Press	University of Aberdeen	31969.98
2014	Cambridge University Press	University of Aberdeen	31969.98
2010	Nature Publishing Group	University of Aberdeen	61915
2011	Nature Publishing Group	University of Aberdeen	63429
2012	Nature Publishing Group	University of Aberdeen	68435
2013	Nature Publishing Group	University of Aberdeen	73874
2014	Nature Publishing Group	University of Aberdeen	73912
2010	Royal Society of Chemistry	University of Aberdeen	19183
2011	Royal Society of Chemistry	University of Aberdeen	19400
2012	Royal Society of Chemistry	University of Aberdeen	20205
